DISTRICT,FEDERAL_REGION,NUMBER_OF_POLLING__CENTRES,REGISTERED_VOTERS,YOWERI__KAGUTA_MUSEVENI,IS_MUSEVENI,NOT_MUSEVENI,VALID_VOTES,INVALID_VOTES,TURN_UP,NUMBER_OF_CANDIDATES,RURAL_OR_URBAN,YEAR_OF_ELECTION,OPPOSITION_SCORE_1,CULTURAL_REGION,Sentiment_Negative,Sentiment_Neutral,Sentiment_Positive
010 KABAROLE,Toro,349,"208,758",104709,1,"19,306","124,015","6,227","130,242",8,7,2011,2,1,0,0,1
011 KALANGALA,Buganda,65,"34,815",9824,1,"6,063","15,887",954,"16,841",8,1,2011,4,1,0,1,0
012 KAMPALA,Buganda,"1,440","1,180,522",225698,0,"264,103","489,801","12,019","501,820",8,10,2011,6,1,1,0,0
013 KAMULI,Busoga,331,"170,672",81596,1,"19,725","101,321","3,202","104,523",8,3,2011,2,1,0,0,1
014 KAPCHORWA,Sebei,101,"45,822",24035,1,"6,666","30,701","1,329","32,030",8,4,2011,2,0,0,0,1
015 KASESE,Rwenzori,469,"302,532",94004,1,"83,426","177,430","9,808","187,238",8,6,2011,5,1,1,0,0
016 KIBAALE,Bunyoro,451,"242,774",138918,1,"13,656","152,574","7,038","159,612",8,2,2011,1,1,0,0,1
017 KIBOGA,Buganda,116,"68,583",30020,1,"7,211","37,231","1,575","38,806",8,2,2011,2,1,0,0,1
018 KISORO,Kigezi,198,"121,634",86233,1,"5,096","91,329","2,811","94,140",8,3,2011,1,0,0,0,1
019 KITGUM,Acholi,178,"85,750",17965,0,"28,314","46,279","3,025","49,304",8,2,2011,6,0,1,0,0
020 KOTIDO,Karamoja,81,"42,457",11297,1,"7,476","18,773","3,453","22,226",8,2,2011,5,0,1,0,0
021 KUMI,Teso,139,"85,562",28121,1,"23,398","51,519","3,127","54,646",8,2,2011,5,0,1,0,0
022 LIRA,Lango,273,"176,539",45849,0,"47,026","92,875","8,343","101,218",8,5,2011,5,0,1,0,0
023 LUWEERO,Buganda,340,"190,715",69453,1,"33,249","102,702","4,057","106,759",8,3,2011,3,1,0,1,0
024 MASAKA,Buganda,214,"135,040",41643,1,"36,183","77,826","2,595","80,421",8,5,2011,5,1,1,0,0
025 MASINDI,Bunyoro,200,"123,482",54583,1,"11,381","65,964","3,326","69,290",8,3,2011,2,1,0,0,1
026 MBALE,Bugisu,373,"217,467",71718,1,"42,881","114,599","5,329","119,928",8,8,2011,4,0,0,1,0
027 MBARARA,Ankole,385,"230,110",105781,1,"28,910","134,691","4,199","138,890",8,7,2011,2,0,0,0,1
028 MOROTO,Karamoja,65,"32,914",7846,1,"6,477","14,323","2,010","16,333",8,1,2011,5,0,1,0,0
029 MOYO,Madi,100,"51,070",16318,1,"13,201","29,519","1,932","31,451",8,2,2011,5,0,1,0,0
030 MPIGI,Buganda,201,"105,142",45275,1,"23,197","68,472","2,198","70,670",8,3,2011,4,1,0,1,0
031 MUBENDE,Buganda,497,"274,381",126951,1,"21,481","148,432","6,284","154,716",8,3,2011,2,1,0,0,1
032 MUKONO,Buganda,419,"244,893",78368,1,"53,631","131,999","3,864","135,863",8,5,2011,4,1,0,1,0
033 NEBBI,West Nile,278,"153,092",52421,1,"37,563","89,984","4,599","94,583",8,3,2011,4,0,0,1,0
034 NTUNGAMO,Ankole,375,"219,841",110779,1,"35,352","146,131","3,138","149,269",8,3,2011,3,0,0,0,1
035 PALLISA,Bukedi,234,"134,383",57117,1,"32,934","90,051","3,290","93,341",8,2,2011,4,0,0,1,0
036 RAKAI,Buganda,343,"210,173",84842,1,"35,814","120,656","7,370","128,026",8,2,2011,3,1,0,1,0
